Nr;Article_ID;Method;Seed;Model;Claims_Korrekt;Claims_Intrinsisch;Claims_Extrinsisch;KM_1;KM_2;KM_3;KM_4;KM_5
1;01;AuthoritativeTone;42;gemini-3.5-flash;29;0;3;ja;ja;ja;ja;ja
2;01;ConclusionFirst;43;gpt-5.4-mini-2026-03-17;26;0;0;ja;ja;ja;ja;ja
3;01;FluencyOptimization;44;gemini-3.5-flash;34;0;3;nein;ja;ja;ja;ja
4;01;JSON-LD;45;gpt-5.4-mini-2026-03-17;27;0;0;ja;ja;ja;ja;ja
5;01;LogicalStructure;46;gemini-3.5-flash;25;0;1;ja;ja;ja;ja;ja
6;01;Original;42;gpt-5.4-mini-2026-03-17;28;0;0;ja;ja;ja;ja;ja
7;01;QuotationAddition;43;gemini-3.5-flash;36;0;1;ja;ja;ja;ja;ja
8;01;StatisticsAddition;44;gpt-5.4-mini-2026-03-17;27;0;0;ja;ja;ja;ja;ja
9;02;AuthoritativeTone;45;gpt-5.4-mini-2026-03-17;41;0;0;ja;ja;nein;ja;-
10;02;ConclusionFirst;46;gemini-3.5-flash;40;0;0;ja;ja;ja;ja;-
11;02;FluencyOptimization;42;gpt-5.4-mini-2026-03-17;34;0;0;ja;ja;nein;ja;-
12;02;JSON-LD;43;gemini-3.5-flash;46;0;5;ja;ja;nein;ja;-
13;02;LogicalStructure;44;gpt-5.4-mini-2026-03-17;64;0;0;ja;ja;ja;ja;-
14;02;Original;45;gemini-3.5-flash;37;0;2;ja;ja;ja;ja;-
15;02;QuotationAddition;46;gpt-5.4-mini-2026-03-17;53;0;0;ja;ja;nein;ja;-
16;02;StatisticsAddition;42;gemini-3.5-flash;39;0;0;ja;nein;ja;ja;-
17;03;AuthoritativeTone;43;gemini-3.5-flash;37;0;0;ja;ja;ja;ja;ja
18;03;ConclusionFirst;44;gpt-5.4-mini-2026-03-17;29;0;0;ja;ja;ja;ja;ja
19;03;FluencyOptimization;45;gemini-3.5-flash;38;0;0;ja;ja;ja;ja;ja
20;03;JSON-LD;46;gpt-5.4-mini-2026-03-17;26;0;0;ja;ja;ja;ja;ja
21;03;LogicalStructure;42;gemini-3.5-flash;25;0;0;ja;ja;ja;ja;ja
22;03;Original;43;gpt-5.4-mini-2026-03-17;25;0;0;ja;ja;ja;ja;ja
23;03;QuotationAddition;44;gemini-3.5-flash;38;0;0;ja;ja;ja;ja;ja
24;03;StatisticsAddition;45;gpt-5.4-mini-2026-03-17;28;0;0;ja;ja;ja;ja;ja
